bioguide_id,Bridge Grade,Senator,Party,State,Bridge Score,Category,raw_A,normdisn_A,points_A,raw_B,normdisn_B,points_B,raw_D,normdisn_D,points_D,raw_E,normdisn_E,points_E,raw_F1,normdisn_F1,points_F1,raw_F2,normdisn_F2,points_F2,raw_G,normdisn_G,points_G,raw_H,normdisn_H,points_H,raw_I1,normdisn_I1,points_I1,raw_I2,normdisn_I2,points_I2,raw_K,normdisn_K,points_K,raw_L,normdisn_L,points_L,score_T,calc_M,normdisn_M,multiple_M,calc_N,normdisn_N,multple_N,calc_O,normdisn_O,multiple_O,multiple_P,adj_score_S,VV_ideology,PRL_ideology,Ideology_blended_score,2024 Election,label
C001070,B, Robert P. Jr. Casey,D,PA,37.80,Bridger,52,87.38,87.38,9,51.42,25.71,-0.23,41.34,62.01,19.35,21.55,21.55,274,47.34,35.51,7.28,45.275,33.956,0,24.59,12.29,20,66.13,33.06,7.28,45.27,33.96,0.19,19.27,60.54,0,19.62,9.81,0.168,76.76,38.38,428.08,2.0%,11.60,1.16,0.313,24.18,1.21,1.168, 20.36 ,1.02,102.2%,437.61,-0.313,-1.168,-60.495,running, Robert P. Jr. Casey (D) - PA
C000880,C, Mike Crapo,R,ID,37.67,Divider,11,20.91,20.91,5,32.00,16.00,-0.10,46.82,70.23,26.86,45.01,45.01,205,35.41,26.56,8.83,56.525,42.394,0,24.59,12.29,20,66.13,33.06,8.83,56.53,42.39,1.03,39.18,45.62,0,19.62,9.81,0.293,88.03,44.01,376.58,18.0%,91.79,9.18,0.504,62.22,3.11,2.064, 75.39 ,3.77,116.1%,437.05,0.504,2.064,64.887,not up for election, Mike Crapo (R) - ID
S001203,C, Tina Smith,D,MN,35.77,Divider,34,61.28,61.28,13,70.50,35.25,-0.14,45.07,67.61,18.52,19.46,19.46,111,21.38,16.03,5.25,31.229,23.421,10,92.50,46.25,20,66.13,33.06,5.25,31.23,23.42,1.89,63.03,27.73,0,19.62,9.81,-0.068,45.63,22.82,409.58,1.0%,8.74,0.87,0.396,39.71,1.99,1.459, 36.81 ,1.84,104.7%,428.83,-0.396,-1.459,-69.279,not up for election, Tina Smith (D) - MN
K000384,C, Tim Kaine,D,VA,35.50,Divider,24,42.47,42.47,7,41.45,20.72,0.05,53.60,80.40,19.04,20.74,20.74,325,56.38,42.29,7.52,47.015,35.261,0,24.59,12.29,20,66.13,33.06,7.52,47.01,35.26,0.76,32.08,50.94,10,58.31,29.15,-0.069,45.49,22.75,414.88,3.0%,15.07,1.51,0.247,14.68,0.73,1.089, 16.81 ,0.84,103.1%,427.66,-0.247,-1.089,-55.157,running, Tim Kaine (D) - VA
H001061,C, John Hoeven,R,ND,33.57,Divider,13,23.76,23.76,9,51.42,25.71,-0.09,47.45,71.17,32.12,63.28,63.28,78,17.35,13.01,4.32,25.489,19.117,0,24.59,12.29,20,66.13,33.06,4.32,25.49,19.12,0.11,17.77,61.68,0,19.62,9.81,0.459,96.15,48.07,364.29,20.0%,95.68,9.57,0.397,39.92,2.00,1.966, 69.91 ,3.50,115.1%,419.15,0.397,1.966,56.730,not up for election, John Hoeven (R) - ND
G000555,C, Kirsten E. Gillibrand,D,NY,32.20,Divider,23,40.61,40.61,7,41.45,20.72,-0.50,30.26,45.40,18.36,19.07,19.07,246,42.41,31.80,7.43,46.361,34.771,0,24.59,12.29,20,66.13,33.06,7.43,46.36,34.77,0.09,17.40,61.95,10,58.31,29.15,-0.388,10.57,5.29,375.90,10.0%,53.90,5.39,0.467,54.59,2.73,1.429, 34.94 ,1.75,109.9%,412.99,-0.467,-1.429,-72.096,running, Kirsten E. Gillibrand (D) - NY
P000603,C, Rand Paul,R,KY,32.20,Divider,7,15.86,15.86,0,13.64,6.82,-0.63,25.13,37.69,29.79,55.31,55.31,138,25.05,18.79,2.39,15.587,11.690,10,92.50,46.25,20,66.13,33.06,2.39,15.59,11.69,0.52,26.28,55.29,0,19.62,9.81,-0.454,6.88,3.44,348.51,16.0%,85.72,8.57,0.891,99.09,4.95,3.142, 99.40 ,4.97,118.5%,412.97,0.891,3.142,90.121,not up for election, Rand Paul (R) - KY
L000570,C, Ben Ray Lujan,D,NM,32.02,Divider,26,46.23,46.23,5,32.00,16.00,0.20,60.19,90.28,19.46,21.82,21.82,176,30.73,23.05,7.44,46.434,34.825,0,24.59,12.29,20,66.13,33.06,7.44,46.43,34.83,0.21,19.66,60.25,0,19.62,9.81,0.012,56.96,28.48,394.74,3.0%,15.07,1.51,0.368,34.12,1.71,1.243, 24.12 ,1.21,104.4%,412.19,-0.368,-1.243,-64.704,not up for election, Ben Ray Lujan (D) - NM
B001277,C, Richard Blumenthal,D,CT,31.55,Divider,33,59.45,59.45,5,32.00,16.00,-0.51,29.77,44.65,15.44,12.85,12.85,328,56.91,42.68,7.72,48.469,36.352,0,24.59,12.29,20,66.13,33.06,7.72,48.47,36.35,1.08,40.54,44.59,10,58.31,29.15,-0.15,34.39,17.20,379.73,7.0%,34.94,3.49,0.438,48.47,2.42,1.525, 41.11 ,2.06,108.0%,410.01,-0.438,-1.525,-72.146,not up for election, Richard Blumenthal (D) - CT
M001111,C, Patty Murray,D,WA,31.29,Divider,18,31.71,31.71,0,13.64,6.82,-1.45,5.78,8.67,15.10,12.24,12.24,489,81.37,61.03,11.41,73.741,55.306,10,92.50,46.25,20,66.13,33.06,11.41,73.74,55.31,2.66,80.96,14.28,0,19.62,9.81,-0.305,17.00,8.50,380.74,8.0%,41.09,4.11,0.352,31.07,1.55,1.418, 34.26 ,1.71,107.4%,408.82,-0.352,-1.418,-66.446,not up for election, Patty Murray (D) - WA
R000584,C, James E. Risch,R,ID,30.48,Divider,18,31.71,31.71,1,16.58,8.29,-0.23,41.16,61.74,29.39,53.93,53.93,184,31.99,23.99,4.85,28.692,21.519,0,24.59,12.29,20,66.13,33.06,4.85,28.69,21.52,0.39,23.37,57.47,0,19.62,9.81,0.393,93.73,46.87,347.63,18.0%,91.79,9.18,0.549,70.88,3.54,2.080, 76.26 ,3.81,116.5%,405.11,0.549,2.080,67.613,not up for election, James E. Risch (R) - ID
M001198,C, Roger Marshall,R,KS,30.37,Divider,11,20.91,20.91,0,13.64,6.82,-0.34,36.60,54.90,23.94,35.09,35.09,198,34.26,25.69,6,36.226,27.169,10,92.50,46.25,20,66.13,33.06,6,36.23,27.17,4.01,96.63,2.52,10,58.31,29.15,0.14,73.61,36.80,354.98,10.0%,53.90,5.39,0.605,80.13,4.01,2.476, 91.68 ,4.58,114.0%,404.61,0.605,2.476,75.188,not up for election, Roger Marshall (R) - KS
E000295,C, Joni Ernst,R,IA,30.36,Divider,27,48.13,48.13,9,51.42,25.71,-0.16,44.30,66.45,35.56,73.99,73.99,186,32.31,24.23,3.13,19.039,14.279,0,24.59,12.29,20,66.13,33.06,3.13,19.04,14.28,2.66,80.96,14.28,10,58.31,29.15,-0.027,51.45,25.73,368.16,6.0%,29.17,2.92,0.534,68.09,3.40,1.988, 71.16 ,3.56,109.9%,404.53,0.534,1.988,65.509,not up for election, Joni Ernst (R) - IA
B001243,C, Marsha Blackburn,R,TN,29.98,Divider,17,30.03,30.03,1,16.58,8.29,-0.08,47.85,71.77,29.00,52.55,52.55,356,61.75,46.31,4.23,24.964,18.723,0,24.59,12.29,20,66.13,33.06,4.23,24.96,18.72,2.76,82.82,12.89,10,58.31,29.15,0.14,73.61,36.80,346.08,14.0%,77.17,7.72,0.631,83.75,4.19,2.399, 89.51 ,4.48,116.4%,402.77,0.631,2.399,75.551,running, Marsha Blackburn (R) - TN
B001288,C, Cory A. Booker,D,NJ,26.21,Divider,34,61.28,61.28,2,19.90,9.95,-0.62,25.72,38.58,14.56,11.30,11.30,180,31.36,23.52,6.73,41.327,30.995,10,92.50,46.25,20,66.13,33.06,6.73,41.33,31.00,3.18,89.32,8.01,0,19.62,9.81,-0.282,19.16,9.58,350.01,6.0%,29.17,2.92,0.572,74.91,3.75,1.876, 64.40 ,3.22,109.9%,384.60,-0.572,-1.876,-81.384,not up for election, Cory A. Booker (D) - NJ
M000355,C, Mitch McConnell,R,KY,25.48,Divider,4,12.65,12.65,12,66.02,33.01,-0.02,50.66,75.99,44.68,92.62,92.62,166,29.18,21.88,3.57,21.298,15.973,0,24.59,12.29,20,66.13,33.06,3.57,21.30,15.97,3.77,95.16,3.63,0,19.62,9.81,0.024,58.63,29.32,339.19,16.0%,85.72,8.57,0.403,41.15,2.06,1.402, 33.27 ,1.66,112.3%,380.89,0.403,1.402,47.725,not up for election, Mitch McConnell (R) - KY
S001194,C, Brian Schatz,D,HI,24.30,Divider,28,50.03,50.03,8,46.40,23.20,-0.40,34.01,51.02,18.94,20.50,20.50,174,30.42,22.81,5.7,34.193,25.644,0,24.59,12.29,20,66.13,33.06,5.7,34.19,25.64,0.92,36.23,47.83,0,19.62,9.81,-0.093,42.12,21.06,334.14,14.0%,77.17,7.72,0.443,49.53,2.48,1.507, 39.95 ,2.00,112.2%,374.87,-0.443,-1.507,-72.134,not up for election, Brian Schatz (D) - HI
V000128,C, Chris Van Hollen,D,MD,24.19,Divider,19,33.42,33.42,7,41.45,20.72,-0.63,25.36,38.04,16.92,15.81,15.81,211,36.41,27.31,5.02,29.758,22.318,0,24.59,12.29,20,66.13,33.06,5.02,29.76,22.32,0.98,37.83,46.63,30,99.03,49.52,-0.212,26.68,13.34,333.74,14.0%,77.17,7.72,0.393,39.10,1.96,1.652, 49.63 ,2.48,112.2%,374.30,-0.393,-1.652,-71.642,not up for election, Chris Van Hollen (D) - MD
W000779,C, Ron Wyden,D,OR,23.93,Divider,26,46.23,46.23,2,19.90,9.95,-0.86,17.86,26.78,14.51,11.22,11.22,286,49.47,37.11,7.67,48.105,36.079,0,24.59,12.29,20,66.13,33.06,7.67,48.11,36.08,1.13,41.91,43.56,20,89.88,44.94,-0.484,5.57,2.79,349.60,6.0%,29.17,2.92,0.331,27.26,1.36,1.627, 47.94 ,2.40,106.7%,372.95,-0.331,-1.627,-68.056,not up for election, Ron Wyden (D) - OR
D000622,C, Tammy Duckworth,D,IL,23.01,Divider,40,71.66,71.66,7,41.45,20.72,-0.71,22.57,33.86,14.81,11.74,11.74,239,41.19,30.89,7.09,43.904,32.928,0,24.59,12.29,20,66.13,33.06,7.09,43.90,32.93,1.22,44.41,41.69,0,19.62,9.81,0.093,67.86,33.93,343.87,7.0%,34.94,3.49,0.337,28.32,1.42,1.547, 42.58 ,2.13,107.0%,368.08,-0.337,-1.547,-67.373,not up for election, Tammy Duckworth (D) - IL
P000145,C, Alex Padilla,D,CA,21.12,Divider,15,26.80,26.80,2,19.90,9.95,-0.50,29.95,44.92,15.49,12.96,12.96,406,69.91,52.43,9.01,57.815,43.361,0,24.59,12.29,0,3.06,1.53,9.01,57.81,43.36,0.66,29.60,52.80,0,19.62,9.81,-0.331,14.76,7.38,322.51,13.0%,72.00,7.20,0.375,35.49,1.77,1.489, 38.76 ,1.94,110.9%,357.71,-0.375,-1.489,-68.634,not up for election, Alex Padilla (D) - CA
B001261,C, John Barrasso,R,WY,20.82,Divider,15,26.80,26.80,0,13.64,6.82,-0.53,29.00,43.50,29.97,55.93,55.93,68,16.23,12.17,2.22,14.856,11.142,10,92.50,46.25,20,66.13,33.06,2.22,14.86,11.14,4.72,99.01,0.74,0,19.62,9.81,0.203,80.39,40.20,303.62,25.0%,99.42,9.94,0.538,68.85,3.44,2.101, 77.33 ,3.87,117.3%,355.99,0.538,2.101,67.301,running, John Barrasso (R) - WY
W000802,C, Sheldon Whitehouse,D,RI,20.81,Divider,19,33.42,33.42,3,23.60,11.80,-0.39,34.43,51.65,20.44,24.46,24.46,175,30.57,22.93,2.77,17.304,12.978,10,92.50,46.25,20,66.13,33.06,2.77,17.30,12.98,3.48,92.72,5.46,10,58.31,29.15,-0.084,43.38,21.69,330.39,8.0%,41.09,4.11,0.356,31.82,1.59,1.516, 40.49 ,2.02,107.7%,355.91,-0.356,-1.516,-67.993,running, Sheldon Whitehouse (D) - RI
S001184,C, Tim Scott,R,SC,20.73,Divider,32,57.59,57.59,7,41.45,20.72,-0.57,27.50,41.26,33.82,68.77,68.77,100,19.98,14.98,2.75,17.211,12.908,0,24.59,12.29,20,66.13,33.06,2.75,17.21,12.91,2.36,74.68,18.99,0,19.62,9.81,0.002,55.56,27.78,315.59,8.0%,41.09,4.11,0.634,84.14,4.21,2.312, 86.59 ,4.33,112.6%,355.49,0.634,2.312,74.692,not up for election, Tim Scott (R) - SC
D000618,C, Steve Daines,R,MT,20.71,Divider,35,63.09,63.09,9,51.42,25.71,-0.43,33.04,49.57,30.62,58.19,58.19,68,16.23,12.17,3.53,21.086,15.815,0,24.59,12.29,20,66.13,33.06,3.53,21.09,15.81,3.8,95.37,3.48,0,19.62,9.81,-0.035,50.32,25.16,311.29,11.0%,60.24,6.02,0.592,78.16,3.91,2.256, 84.41 ,4.22,114.2%,355.35,0.592,2.256,72.064,not up for election, Steve Daines (R) - MT
M000133,C, Edward J. Markey,D,MA,20.20,Divider,23,40.61,40.61,2,19.90,9.95,-0.90,16.79,25.18,12.54,8.24,8.24,255,43.98,32.99,4.88,28.878,21.659,0,24.59,12.29,20,66.13,33.06,4.88,28.88,21.66,1.17,43.02,42.73,20,89.88,44.94,-0.467,6.29,3.14,305.62,15.0%,81.75,8.18,0.515,64.42,3.22,2.123, 78.45 ,3.92,115.3%,352.43,-0.515,-2.123,-81.806,not up for election, Edward J. Markey (D) - MA
L000571,C, Cynthia M. Lummis,R,WY,19.88,Divider,8,17.04,17.04,0,13.64,6.82,-0.65,24.66,37.00,23.72,34.39,34.39,137,24.91,18.68,5.52,32.994,24.745,0,24.59,12.29,20,66.13,33.06,5.52,32.99,24.75,1.09,40.81,44.39,10,58.31,29.15,-0.33,14.85,7.42,294.61,25.0%,99.42,9.94,0.686,89.89,4.49,2.455, 91.12 ,4.56,119.0%,350.57,0.686,2.455,78.443,not up for election, Cynthia M. Lummis (R) - WY
R000122,C, Jack Reed,D,RI,19.06,Divider,22,38.77,38.77,2,19.90,9.95,-0.81,19.32,28.98,15.32,12.63,12.63,304,52.67,39.50,7.25,45.058,33.793,0,24.59,12.29,20,66.13,33.06,7.25,45.06,33.79,0.5,25.82,55.64,0,19.62,9.81,-0.172,31.56,15.78,320.53,8.0%,41.09,4.11,0.367,33.93,1.70,1.528, 41.32 ,2.07,107.9%,345.76,-0.367,-1.528,-68.741,not up for election, Jack Reed (D) - RI
H001046,F, Martin Heinrich,D,NM,18.06,Divider,18,31.71,31.71,7,41.45,20.72,-0.30,38.11,57.16,21.37,27.10,27.10,140,25.33,19.00,4.67,27.583,20.687,0,24.59,12.29,20,66.13,33.06,4.67,27.58,20.69,1.2,43.86,42.11,10,58.31,29.15,-0.026,51.59,25.80,325.98,3.0%,15.07,1.51,0.331,27.26,1.36,1.289, 26.63 ,1.33,104.2%,339.68,-0.331,-1.289,-63.406,running, Martin Heinrich (D) - NM
B001319,F, Katie Boyd Britt,R,AL,17.23,Divider,26,46.76,46.76,7,41.45,20.72,-1.67,3.45,5.18,28.20,49.72,49.72,185,32.15,24.11,9.74,62.947,47.210,0,24.59,12.29,0,3.06,1.53,9.74,62.95,47.21,2.89,85.05,11.21,0,19.62,9.81,0.712,99.62,49.81,288.06,15.0%,81.75,8.18,0.571,74.74,3.74,2.248, 84.11 ,4.21,116.1%,334.49,0.571,2.248,70.931,not up for election, Katie Boyd Britt (R) - AL
M001190,F, Markwayne Mullin,R,OK,16.20,Divider,26,46.76,46.76,11,61.30,30.65,-0.67,23.99,35.98,28.20,49.72,49.72,54,14.74,11.06,2.43,15.762,11.822,0,24.59,12.29,-20,0.00,0.00,2.43,15.76,11.82,2.74,82.45,13.16,20,89.88,44.94,0.242,84.01,42.00,280.51,20.0%,95.68,9.57,0.535,68.28,3.41,2.101, 77.33 ,3.87,116.8%,327.77,0.535,2.101,67.137,not up for election, Markwayne Mullin (R) - OK
B001320,F, Laphonza R. Butler,D,CA,15.61,Divider,26,46.76,46.76,7,41.45,20.72,-0.02,50.66,75.99,28.20,49.72,49.72,55,14.85,11.14,4.64,27.400,20.550,0,24.59,12.29,0,3.06,1.53,4.64,27.40,20.55,3.37,91.59,6.31,0,19.62,9.81,0.056,63.01,31.50,287.67,13.0%,72.00,7.20,0.542,69.59,3.48,1.473, 37.74 ,1.89,112.6%,323.83,-0.542,-1.473,-75.552,retiring, Laphonza R. Butler (D) - CA
C001098,F, Ted Cruz,R,TX,12.74,Divider,8,17.04,17.04,0,13.64,6.82,-1.18,10.01,15.02,17.21,16.44,16.44,503,83.00,62.25,7.09,43.904,32.928,0,24.59,12.29,20,66.13,33.06,7.09,43.90,32.93,4.56,98.67,1.00,10,58.31,29.15,-0.189,29.44,14.72,271.22,5.0%,23.88,2.39,0.785,96.41,4.82,2.424, 90.26 ,4.51,111.7%,303.01,0.785,2.424,81.475,running, Ted Cruz (R) - TX
B001305,F, Ted Budd,R,NC,11.82,Divider,26,46.76,46.76,0,13.64,6.82,-0.85,18.11,27.16,28.20,49.72,49.72,50,14.34,10.75,3,18.400,13.800,0,24.59,12.29,0,3.06,1.53,3,18.40,13.80,1.5,52.28,35.79,15,77.10,38.55,-0.074,44.79,22.39,269.28,3.0%,15.07,1.51,0.633,84.01,4.20,2.185, 81.38 ,4.07,109.8%,295.61,0.633,2.185,73.085,not up for election, Ted Budd (R) - NC
W000817,F, Elizabeth Warren,D,MA,11.09,Divider,21,36.96,36.96,0,13.64,6.82,-0.66,24.27,36.40,17.69,17.51,17.51,151,26.93,20.20,3.96,23.425,17.569,0,24.59,12.29,20,66.13,33.06,3.96,23.43,17.57,1.89,63.03,27.73,0,19.62,9.81,-0.349,13.33,6.67,248.21,15.0%,81.75,8.18,0.747,94.51,4.73,2.044, 74.31 ,3.72,116.6%,289.46,-0.747,-2.044,-87.251,running, Elizabeth Warren (D) - MA
S000033,F, Bernard Sanders,I,VT,9.61,Divider,1,9.92,9.92,0,13.64,6.82,-1.23,9.18,13.77,28.20,49.72,49.72,80,17.58,13.18,1.56,12.239,9.179,0,24.59,12.29,20,66.13,33.06,1.56,12.24,9.18,0.34,22.31,58.27,10,58.31,29.15,-0.419,8.69,4.34,256.85,16.0%,85.72,8.57,0.542,69.59,3.48,2.164, 80.43 ,4.02,107.5%,276.11,-0.542,-2.164,-83.116,running, Bernard Sanders (I) - VT
V000137,F, J. D. Vance,R,OH,9.51,Divider,26,46.76,46.76,7,41.45,20.72,-0.79,19.81,29.71,28.20,49.72,49.72,57,15.06,11.29,2.98,18.303,13.728,0,24.59,12.29,0,3.06,1.53,2.98,18.30,13.73,2.14,69.47,22.90,0,19.62,9.81,-0.528,4.02,2.01,244.50,6.0%,29.17,2.92,0.849,98.38,4.92,2.556, 93.58 ,4.68,112.5%,275.10,0.849,2.556,84.555,not up for election, J. D. Vance (R) - OH
M001176,F, Jeff Merkley,D,OR,7.80,Divider,19,33.42,33.42,0,13.64,6.82,-0.63,25.17,37.76,13.47,9.56,9.56,165,29.03,21.77,4.42,26.078,19.559,0,24.59,12.29,0,3.06,1.53,4.42,26.08,19.56,0.67,29.84,52.62,0,19.62,9.81,-0.74,0.61,0.31,237.00,6.0%,29.17,2.92,0.446,50.16,2.51,1.870, 64.04 ,3.20,108.6%,257.44,-0.446,-1.870,-76.594,not up for election, Jeff Merkley (D) - OR
S001227,F, Eric Schmitt,R,MO,7.05,Divider,26,46.76,46.76,7,41.45,20.72,-1.46,5.62,8.42,28.20,49.72,49.72,86,18.28,13.71,2.57,16.386,12.289,0,24.59,12.29,0,3.06,1.53,2.57,16.39,12.29,2.54,78.57,16.07,0,19.62,9.81,-0.033,50.60,25.30,215.92,10.0%,53.90,5.39,0.97,99.73,4.99,2.806, 97.40 ,4.87,115.2%,248.84,0.97,2.806,89.166,not up for election, Eric Schmitt (R) - MO
R000618,F, Pete Ricketts,R,NE,6.75,Divider,26,46.76,46.76,0,13.64,6.82,-0.96,15.17,22.75,28.20,49.72,49.72,42,13.55,10.16,2.5,16.072,12.054,0,24.59,12.29,0,3.06,1.53,2.5,16.07,12.05,2.26,72.37,20.72,0,19.62,9.81,0.512,97.48,48.74,216.97,13.0%,72.00,7.20,0.437,48.26,2.41,1.919, 67.09 ,3.35,113.0%,245.11,0.437,1.919,58.706,not up for election, Pete Ricketts (R) - NE
F000479,F, John Fetterman,D,PA,6.59,Divider,26,46.76,46.76,7,41.45,20.72,-1.02,13.44,20.17,28.20,49.72,49.72,31,12.51,9.38,4.99,29.568,22.176,0,24.59,12.29,0,3.06,1.53,4.99,29.57,22.18,3.06,87.67,9.25,0,19.62,9.81,0.067,64.48,32.24,236.28,2.0%,11.60,1.16,0.341,29.04,1.45,1.321, 28.45 ,1.42,102.9%,243.07,-0.341,-1.321,-64.445,not up for election, John Fetterman (D) - PA
H000601,F, Bill Hagerty,R,TN,6.45,Divider,5,13.67,13.67,0,13.64,6.82,-1.01,13.80,20.70,25.97,41.95,41.95,100,19.98,14.98,2.69,16.933,12.700,0,24.59,12.29,20,66.13,33.06,2.69,16.93,12.70,2.53,78.36,16.23,0,19.62,9.81,-0.105,40.46,20.23,207.20,14.0%,77.17,7.72,0.681,89.42,4.47,2.289, 85.74 ,4.29,116.5%,241.34,0.681,2.289,76.381,not up for election, Bill Hagerty (R) - TN
H001042,F, Mazie K. Hirono,D,HI,6.06,Divider,8,17.04,17.04,0,13.64,6.82,-0.99,14.24,21.36,13.43,9.50,9.50,116,22.03,16.53,5.89,35.475,26.606,0,24.59,12.29,20,66.13,33.06,5.89,35.48,26.61,2.54,78.57,16.07,0,19.62,9.81,-0.092,42.26,21.13,208.00,14.0%,77.17,7.72,0.513,64.02,3.20,1.691, 52.23 ,2.61,113.5%,236.14,-0.513,-1.691,-77.296,running, Mazie K. Hirono (D) - HI
H001079,F, Cindy Hyde-Smith,R,MS,5.99,Divider,4,12.65,12.65,0,13.64,6.82,-0.92,16.10,24.14,25.13,39.08,39.08,62,15.58,11.69,3.03,18.547,13.910,0,24.59,12.29,0,3.06,1.53,3.03,18.55,13.91,0.73,31.33,51.50,0,19.62,9.81,0.337,90.88,45.44,209.63,11.0%,60.24,6.02,0.45,51.01,2.55,2.004, 72.08 ,3.60,112.2%,235.15,0.45,2.004,60.767,not up for election, Cindy Hyde-Smith (R) - MS
L000577,F, Mike Lee,R,UT,5.52,Divider,9,18.28,18.28,0,13.64,6.82,-1.26,8.64,12.96,19.08,20.85,20.85,151,26.93,20.20,2.76,17.258,12.943,0,24.59,12.29,20,66.13,33.06,2.76,17.26,12.94,2.14,69.47,22.90,0,19.62,9.81,-0.454,6.88,3.44,195.35,13.0%,72.00,7.20,0.891,99.09,4.95,2.782, 97.15 ,4.86,117.0%,228.58,0.891,2.782,87.547,not up for election, Mike Lee (R) - UT
S001217,F, Rick Scott,R,FL,5.40,Divider,13,23.76,23.76,0,13.64,6.82,-0.95,15.40,23.10,15.70,13.36,13.36,458,77.44,58.08,3.79,22.484,16.863,0,24.59,12.29,0,3.06,1.53,3.79,22.48,16.86,3,86.79,9.91,0,19.62,9.81,-0.017,52.87,26.44,204.68,3.0%,15.07,1.51,0.715,92.35,4.62,2.586, 94.18 ,4.71,110.8%,226.85,0.715,2.586,80.863,running, Rick Scott (R) - FL
K000393,F, John Kennedy,R,LA,4.60,Divider,12,22.31,22.31,0,13.64,6.82,-0.77,20.50,30.75,26.76,44.68,44.68,60,15.37,11.53,1.48,11.945,8.959,0,24.59,12.29,-20,0.00,0.00,1.48,11.94,8.96,3.94,96.25,2.81,10,58.31,29.15,-0.155,33.74,16.87,190.56,12.0%,66.32,6.63,0.56,72.84,3.64,1.548, 42.62 ,2.13,112.4%,214.19,0.56,1.548,59.830,not up for election, John Kennedy (R) - LA
J000293,F, Ron Johnson,R,WI,3.78,Divider,4,12.65,12.65,0,13.64,6.82,-1.36,6.93,10.40,28.10,49.40,49.40,43,13.64,10.23,2.52,16.161,12.121,0,24.59,12.29,20,66.13,33.06,2.52,16.16,12.12,6.57,99.99,0.01,0,19.62,9.81,-0.146,34.92,17.46,181.21,2.0%,11.60,1.16,0.642,85.14,4.26,2.446, 90.89 ,4.54,110.0%,199.26,0.642,2.446,76.549,not up for election, Ron Johnson (R) - WI
C001095,F, Tom Cotton,R,AR,3.71,Divider,8,17.04,17.04,0,13.64,6.82,-1.28,8.18,12.27,16.67,15.28,15.28,48,14.14,10.60,2.11,14.396,10.797,0,24.59,12.29,20,66.13,33.06,2.11,14.40,10.80,6.08,99.95,0.04,10,58.31,29.15,0.178,77.84,38.92,170.44,16.0%,85.72,8.57,0.583,76.73,3.84,2.036, 73.89 ,3.69,116.1%,197.89,0.583,2.036,68.750,not up for election, Tom Cotton (R) - AR
H001089,F, Josh Hawley,R,MO,2.35,Divider,3,11.69,11.69,0,13.64,6.82,-1.21,9.53,14.30,17.43,16.92,16.92,103,20.36,15.27,3.66,21.778,16.334,0,24.59,12.29,0,3.06,1.53,3.66,21.78,16.33,2.99,86.64,10.02,0,19.62,9.81,-0.252,22.21,11.10,143.60,10.0%,53.90,5.39,0.801,97.03,4.85,2.812, 97.46 ,4.87,115.1%,165.31,0.801,2.812,85.609,running, Josh Hawley (R) - MO
T000278,F, Tommy Tuberville,R,AL,1.96,Divider,2,10.78,10.78,0,13.64,6.82,-1.26,8.61,12.91,17.24,16.51,16.51,160,28.27,21.20,2.49,16.027,12.021,0,24.59,12.29,0,3.06,1.53,2.49,16.03,12.02,4.34,98.04,1.47,0,19.62,9.81,-0.352,13.11,6.55,129.65,15.0%,81.75,8.18,0.936,99.53,4.98,2.561, 93.69 ,4.68,117.8%,152.78,0.936,2.561,86.401,not up for election, Tommy Tuberville (R) - AL